                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.00027,                0.91899,                      1,                0.31281,               0.003169,               0.003169,               0.003169
                     71,                0.00041,                0.91965,                      1,                 0.3131,                0.00307,                0.00307,                0.00307
                     72,                 0.0003,                 0.9201,                      1,                0.31275,               0.002971,               0.002971,               0.002971
                     73,                0.00039,                0.91809,                      1,                0.31279,               0.002872,               0.002872,               0.002872
                     74,                0.00026,                 0.9172,                      1,                0.31339,               0.002773,               0.002773,               0.002773
                     75,                0.00024,                0.91854,                      1,                0.31296,               0.002674,               0.002674,               0.002674
                     76,                0.00024,                0.91899,                      1,                 0.3128,               0.002575,               0.002575,               0.002575
                     77,                0.00029,                0.91965,                      1,                0.31256,               0.002476,               0.002476,               0.002476
                     78,                0.00028,                0.91943,                      1,                0.31264,               0.002377,               0.002377,               0.002377
                     79,                0.00026,                0.92054,                      1,                0.31279,               0.002278,               0.002278,               0.002278
                     80,                 0.0004,                0.91876,                      1,                 0.3129,               0.002179,               0.002179,               0.002179
                     81,                0.00035,                0.91832,                      1,                0.31288,                0.00208,                0.00208,                0.00208
                     82,                0.00022,                0.91876,                      1,                0.31255,               0.001981,               0.001981,               0.001981
                     83,                0.00027,                0.91832,                      1,                0.31251,               0.001882,               0.001882,               0.001882
                     84,                0.00018,                0.91921,                      1,                0.31245,               0.001783,               0.001783,               0.001783
                     85,                0.00018,                0.91921,                      1,                0.31245,               0.001684,               0.001684,               0.001684
                     86,                 0.0002,                0.91899,                      1,                0.31252,               0.001585,               0.001585,               0.001585
                     87,                0.00037,                0.91899,                      1,                0.31265,               0.001486,               0.001486,               0.001486
                     88,                0.00042,                0.91698,                      1,                0.31298,               0.001387,               0.001387,               0.001387
                     89,                0.00017,                0.91676,                      1,                0.31317,               0.001288,               0.001288,               0.001288
                     90,                0.00013,                0.91676,                      1,                0.31328,               0.001189,               0.001189,               0.001189
                     91,                0.00022,                0.91743,                      1,                0.31331,                0.00109,                0.00109,                0.00109
                     92,                0.00015,                0.91743,                      1,                0.31333,               0.000991,               0.000991,               0.000991
                     93,                0.00018,                0.91765,                      1,                 0.3133,               0.000892,               0.000892,               0.000892
                     94,                0.00016,                0.91765,                      1,                0.31325,               0.000793,               0.000793,               0.000793
                     95,                0.00011,                0.91765,                      1,                0.31324,               0.000694,               0.000694,               0.000694
                     96,                0.00012,                0.91787,                      1,                0.31323,               0.000595,               0.000595,               0.000595
                     97,                0.00029,                 0.9172,                      1,                 0.3132,               0.000496,               0.000496,               0.000496
                     98,                0.00016,                0.91765,                      1,                 0.3132,               0.000397,               0.000397,               0.000397
                     99,                0.00015,                0.91765,                      1,                 0.3132,               0.000298,               0.000298,               0.000298
